Test Case,Avg Dispersion,Avg Distance to Goal,Avg Clustering Coefficient,Num Flocks
test_031,35.26653107300553,2303.5240385347315,0.9973108188279908,1
test_031,31.025055528318994,3363.3711077528774,0.9972531262899403,1
test_031,32.38006998576448,6482.964568573697,0.9958350002153998,2
test_baseline,64.30501422000953,366.4220404753262,0.9989732758296421,1
test_baseline,74.95379477306817,138.43681456198354,0.9984683779013147,3
test_baseline,76.30963143744324,385.8413903288482,0.9989811740047252,1
test_000,233.68349809498676,6759.176470811709,0.9738363701523,3
test_000,206.01518914255138,6746.437706171698,0.9825578055765818,2
test_000,192.34815467336207,6718.803121997729,0.9852789697273987,5
